USERID,USERNAME_,NAMESURNAME,STATUS_,USERGENDER,USERBIRTHDATE,REGION,CITY,TOWN,DISTRICT,ADDRESSTEXT
30001,arda.cetin12847@hotmailia.com,Arda Çetin,1,M,1966-09-21,Ic Anadolu,Konya,AKSEHIR,MEYDAN MAH.,MEYDAN MAH. KUYU SOKAK  42550  AKSEHIR/KONYA
30002,yasemin.gunduz54960@inboxplus.com,Yasemin Gündüz,1,F,1958-08-14,Dogu Anadolu,Elazig,MADEN,CAMII KEBIR MAH.,CAMII KEBIR MAH. KAVAZBASI KUME EVLERI  23400  MADEN/ELAZIG
30003,ugur.isik1620@outlookerlab.com,Uğur Işık,1,M,1951-03-04,Guneydogu Anadolu,Diyarbakir,KAYAPINAR,BARIS MAH.,BARIS MAH. 500 EVLER 5. SOKAK  21070  KAYAPINAR/DIYARBAKIR
30004,utku.bozkurt19353@yahootracker.com,Utku Bozkurt,1,M,1965-01-07,Karadeniz,Trabzon,TRABZON MERKEZ,UNIVERSITE MAH.,UNIVERSITE MAH. BOSTAN SOKAK    TRABZON MERKEZ/TRABZON
30005,veli.ozgur.ozdemir45084@hotmailia.com,Veli Özgür Özdemir,1,M,1967-08-16,Marmara,Istanbul,GUNGOREN,GENCOSMAN MAH.,GENCOSMAN MAH. AKTAS SOKAK  34165  GUNGOREN/ISTANBUL
30006,esila.aslan69636@gmaileo.com,Esila Aslan,1,F,1957-07-18,Marmara,Istanbul,ATASEHIR,ESATPASA MAH.,ESATPASA MAH. ALEMDAR MUSTAFAPASA SOKAK    ATASEHIR/ISTANBUL
30007,belgin.dinc53787@yahootracker.com,Belgin Dinç,1,F,1964-11-17,Ege,Denizli,DENIZLI MERKEZ,MERKEZ EFENDI MAH.,MERKEZ EFENDI MAH. 443. SOKAK    DENIZLI MERKEZ/DENIZLI
30008,lara.dilan.turkmen98674@hotmailia.com,Lara Dilan Türkmen,1,F,1986-04-26,Karadeniz,Tokat,TOKAT MERKEZ,BAHCELIEVLER MAH.,BAHCELIEVLER MAH. AKPINAR SOKAK    TOKAT MERKEZ/TOKAT
30009,utku.polat6412@inboxplus.com,Utku Polat,1,M,1968-09-21,Ic Anadolu,Ankara,ELMADAG,HASANAOGLAN BAHCELIEVLER MAH.,HASANAOGLAN BAHCELIEVLER MAH. 23 NISAN CADDESI    ELMADAG/ANKARA
30010,huseyin.erbas27706@hotmailia.com,Hüseyin Erbaş,1,M,1958-06-19,Ege,Aydin,SULTANHISAR,ATCA-YENI MAH.,ATCA-YENI MAH. 33. SOKAK    SULTANHISAR/AYDIN
30011,belgin.sari51190@inboxplus.com,Belgin Sarı,1,F,1954-03-09,Ic Anadolu,Ankara,KECIOREN,BADEMLIK MAH.,BADEMLIK MAH. 1186. SOKAK  06300  KECIOREN/ANKARA
30012,damla.seda.gur89141@inboxplus.com,Damla Seda Gür,1,F,1972-11-20,Ege,Afyonkarahisar,SULTANDAGI,YAKASINEK-YENI MAH.,YAKASINEK-YENI MAH. YILDIRIM SOKAK    SULTANDAGI/AFYONKARAHISAR
30013,ferhat.ozkanli6169@yahootracker.com,Ferhat Özkanlı,1,M,1967-03-15,Ege,Aydin,AYDIN MERKEZ,UMURLU-CARSI MAH.,UMURLU-CARSI MAH. 2086. SOKAK    AYDIN MERKEZ/AYDIN
30014,gonca.gulsum.akin93482@outlookerlab.com,Gonca Gülsüm Akın,1,F,1966-03-15,Akdeniz,Hatay,HASSA,SOGUT-GAZI MAH.,SOGUT-GAZI MAH. ATATURK CADDESI    HASSA/HATAY
30015,veli.saglam22607@gmaileo.com,Veli Sağlam,1,M,1954-02-06,Ic Anadolu,Kayseri,TALAS,AKCAKAYA MAH.,AKCAKAYA MAH. GULER SABANCI CADDESI  38300  TALAS/KAYSERI
30016,sercan.demir23033@yahootracker.com,Sercan Demir,1,M,1966-12-04,Karadeniz,Amasya,AMASYA MERKEZ,GOLLU BAGLARI MAH.,GOLLU BAGLARI MAH. MEYVELI SOKAK    AMASYA MERKEZ/AMASYA
30017,sevgi.reyhan.gunduz93471@yahootracker.com,Sevgi Reyhan Gündüz,1,F,1986-02-27,Ic Anadolu,Eskisehir,ODUNPAZARI,AGAPINAR MAH.,AGAPINAR MAH. 28.SOKAK  26250  ODUNPAZARI/ESKISEHIR
30018,mehmet.gul10402@yahootracker.com,Mehmet Gül,1,M,1954-08-25,Ege,Manisa,DEMIRCI,ICIKLER-FATIH MAH.,ICIKLER-FATIH MAH. CUMHURIYET CADDESI    DEMIRCI/MANISA
30019,oguz.ozkanli103@hotmailia.com,Oğuz Özkanlı,1,M,1962-02-16,Guneydogu Anadolu,Sanliurfa,SURUC,YENISEHIR MAH.,YENISEHIR MAH. YAZAR SOKAK  63800  SURUC/SANLIURFA
30020,taylan.keles24970@yahootracker.com,Taylan Keleş,1,M,1968-01-22,Dogu Anadolu,Erzurum,PALANDOKEN,PALANDOKEN MAH.,PALANDOKEN MAH. CANAN KUME EVLERI    PALANDOKEN/ERZURUM
30021,aylin.demirtas82467@yahootracker.com,Aylin Demirtaş,1,F,1960-11-12,Guneydogu Anadolu,Gaziantep,SAHINBEY,BOZOKLAR MAH.,BOZOKLAR MAH. 95041. SOKAK  27100  SAHINBEY/GAZIANTEP
30022,suna.busra.erturk99084@hotmailia.com,Suna Büşra Ertürk,1,F,1976-05-19,Marmara,Istanbul,UMRANIYE,NECIP FAZIL MAH.,NECIP FAZIL MAH. CALISKAN SOKAK  34773  UMRANIYE/ISTANBUL
30023,murat.volkan.kaya41795@outlookerlab.com,Murat Volkan Kaya,1,M,1977-11-12,Dogu Anadolu,Van,ERCIS,CINARLI MAH.,CINARLI MAH. 1023. SAHIN TEPESI 1. SOKAK  65400  ERCIS/VAN
30024,damla.erdem70074@hotmailia.com,Damla Erdem,1,F,1986-02-06,Marmara,Istanbul,BEYOGLU,OMER AVNI MAH.,OMER AVNI MAH. BESIRAGA CIKMAZI SOKAK  34427  BEYOGLU/ISTANBUL
30025,nehir.erbas68684@gmaileo.com,Nehir Erbaş,1,F,1951-03-16,Ic Anadolu,Sivas,SIVAS MERKEZ,DIRILIS MAH.,DIRILIS MAH. 68-15 SOKAK    SIVAS MERKEZ/SIVAS
30026,irem.aslan53410@gmaileo.com,İrem Aslan,1,F,1975-07-28,Marmara,Bursa,OSMANGAZI,CIRISHANE MAH.,CIRISHANE MAH. 1.TEKIN SOKAK  16200  OSMANGAZI/BURSA
30027,engin.uysal2278@outlookerlab.com,Engin Uysal,1,M,1995-03-02,Marmara,Istanbul,CATALCA,SUBASI KOYU,SUBASI KOYU MAH. YILDIZ SOKAK  34540  CATALCA/ISTANBUL
30028,esila.yaman70086@inboxplus.com,Esila Yaman,1,F,1959-09-29,Akdeniz,Adana,SEYHAN,FEVZIPASA MAH.,FEVZIPASA MAH. 48048. SOKAK  01190  SEYHAN/ADANA
30029,yeliz.kivanc81915@inboxplus.com,Yeliz Kıvanç,1,F,1987-07-15,Karadeniz,Sinop,AYANCIK,TEVFIKIYE KOYU,TEVFIKIYE KOYU MAH. BAKLA MEVKI  57402  AYANCIK/SINOP
30030,sevgi.balci78146@inboxplus.com,Sevgi Balcı,1,F,1954-11-25,Marmara,Tekirdag,CERKEZKOY,KIZILPINAR-YUNUS EMRE MAH.,KIZILPINAR-YUNUS EMRE MAH. 166.. SOKAK    CERKEZKOY/TEKIRDAG
30031,fatma.coskun65181@outlookerlab.com,Fatma Coşkun,1,F,1991-05-02,Guneydogu Anadolu,Mardin,DERIK,KUYULU KOYU,KUYULU KOYU MAH. KOYUN KENDISI  47800  DERIK/MARDIN
30032,kaan.sari17934@gmaileo.com,Kaan Sarı,1,M,1997-09-02,Marmara,Sakarya,ADAPAZARI,SEMERCILER MAH.,SEMERCILER MAH. SARAY BOSNA CADDESI  54100  ADAPAZARI/SAKARYA
30033,sami.eren.kalayci44664@inboxplus.com,Sami Eren Kalaycı,1,M,1988-09-17,Ege,Denizli,CIVRIL,KIRALAN-SIPAHILER MAH.,KIRALAN-SIPAHILER MAH. 431. SOKAK    CIVRIL/DENIZLI
30034,ferhat.sami.tarhan41591@inboxplus.com,Ferhat Sami Tarhan,1,M,1965-11-12,Ege,Izmir,BAYRAKLI,ONUR MAH.,ONUR MAH. 7398. SOKAK  35520  BAYRAKLI/IZMIR
