USERID,USERNAME_,NAMESURNAME,STATUS_,USERGENDER,USERBIRTHDATE,REGION,CITY,TOWN,DISTRICT,ADDRESSTEXT
20001,hale.gul.dogan92216@inboxplus.com,Hale Gül Doğan,1,F,1987-01-08,Akdeniz,Hatay,HASSA,HAYDARLAR KOYU,HAYDARLAR KOYU MAH. MEHMETBEY MEVKI  31700  HASSA/HATAY
20002,faruk.sonmez7939@inboxplus.com,Faruk Sönmez,1,M,1986-10-20,Marmara,Istanbul,SILIVRI,CUMHURIYET MAH.,CUMHURIYET MAH. MARTI SOKAK  34570  SILIVRI/ISTANBUL
20003,pinar.kara76316@inboxplus.com,Pınar Kara,1,F,1961-12-03,Marmara,Istanbul,KAGITHANE,SANAYI MAH.,SANAYI MAH. BOYRAZ SOKAK    KAGITHANE/ISTANBUL
20004,zeynep.merve.kose91255@outlookerlab.com,Zeynep Merve Köse,1,F,1996-08-01,Marmara,Istanbul,KUCUKCEKMECE,SOGUTLU CESME MAH.,SOGUTLU CESME MAH. MERT SOKAK  34295  KUCUKCEKMECE/ISTANBUL
20005,ayse.tugba.karaoglu90814@outlookerlab.com,Ayşe Tuğba Karaoğlu,1,F,1968-03-24,Karadeniz,Karabuk,SAFRANBOLU,BAGLARBASI MAH.,BAGLARBASI MAH. OZER CADDESI  78600  SAFRANBOLU/KARABUK
20006,dogukan.yaman31628@gmaileo.com,Doğukan Yaman,1,M,1954-10-06,Guneydogu Anadolu,Adiyaman,KAHTA,FIRAT MAH.,FIRAT MAH. 4. SOKAK  02400  KAHTA/ADIYAMAN
20007,hasan.erdem1821@outlookerlab.com,Hasan Erdem,1,M,1954-01-16,Ic Anadolu,Ankara,PURSAKLAR,FATIH MAH.,FATIH MAH. METEHAN SOKAK  06145  PURSAKLAR/ANKARA
20008,elif.ayse.demir90359@hotmailia.com,Elif Ayşe Demir,1,F,1954-11-17,Ic Anadolu,Aksaray,AGACOREN,CAMILI-CUMHURIYET MAH.,CAMILI-CUMHURIYET MAH. 15 NOLU SOKAK    AGACOREN/AKSARAY
20009,zeynep.kaptan73852@hotmailia.com,Zeynep Kaptan,1,F,1990-11-04,Ic Anadolu,Ankara,YENIMAHALLE,MEHMET AKIF ERSOY MAH.,MEHMET AKIF ERSOY MAH. 352. SOKAK  06200  YENIMAHALLE/ANKARA
20010,kadir.akin26151@hotmailia.com,Kadir Akın,1,M,1984-03-16,Guneydogu Anadolu,Gaziantep,SEHITKAMIL,GUZELYURT MAH.,GUZELYURT MAH. 30065 NOLU SOKAK  27080  SEHITKAMIL/GAZIANTEP
20011,nevzat.yucel18685@yahootracker.com,Nevzat Yücel,1,M,1957-12-05,Karadeniz,Kastamonu,TOSYA,KIZILCA KOYU,KIZILCA KOYU MAH. AKDUTDIBI MEVKI  37302  TOSYA/KASTAMONU
20012,ferhat.ozturk25357@hotmailia.com,Ferhat Öztürk,1,M,1984-02-19,Marmara,Istanbul,EYUP,YESILPINAR MAH.,YESILPINAR MAH. OKUTAN SOKAK  34065  EYUP/ISTANBUL
20013,kursat.erturk28772@gmaileo.com,Kürşat Ertürk,1,M,1985-06-06,Ege,Afyonkarahisar,AFYONKARAHISAR MERKEZ,HOCA AHMET YESEVI MAH.,HOCA AHMET YESEVI MAH. SUSUZ DEGIRMEN YOLU KUME EVLERI    AFYONKARAHISAR MERKEZ/AFYONKARAHISAR
20014,nehir.derya.sonmez94262@gmaileo.com,Nehir Derya Sönmez,1,F,1979-08-08,Ic Anadolu,Konya,SEYDISEHIR,GEVREKLI-SIRIN MAH.,GEVREKLI-SIRIN MAH. MUTTALIP SOKAK    SEYDISEHIR/KONYA
